42;"Буровая компания ""Евразия"", БО-001Р-02";RU000A100A33;01.04.2020;01.04.2020;BUY;1000,00;4 195;101,0000;1 059,23;100,0000;102,8698;0;4 195;4 236 950,00;1 059,23;4 195 000,00;4 315 389,77;120 389,77;0,00;-41 950,00;158 193,45;2 936,50;0,70;ДУ-001;СССД_ЦБ
43;"Буровая компания ""Евразия"", БО-001Р-02";RU000A100A33;01.04.2020;02.04.2020;BUY;1000,00;5 438;100,9000;1 508,90;100,0000;102,8698;0;5 438;5 486 942,00;1 508,90;5 438 000,00;5 594 061,88;156 061,88;0,00;-48 942,00;206 372,10;3 806,60;0,70;ДУ-001;СССД_ЦБ
44;"Буровая компания ""Евразия"", БО-001Р-02";RU000A100A33;01.04.2020;02.04.2020;BUY;1000,00;50 000;101,0000;13 887,50;100,0000;102,8698;0;50 000;50 500 000,00;13 887,50;50 000 000,00;51 434 919,78;1 434 919,78;0,00;-500 000,00;1 897 500,00;35 000,00;0,70;ДУ-001;СССД_ЦБ
45;"Буровая компания ""Евразия"", БО-001Р-02";RU000A100A33;01.04.2020;02.04.2020;BUY;1000,00;5 000;100,9000;1 387,38;100,0000;102,8698;0;5 000;5 045 000,00;1 387,38;5 000 000,00;5 143 491,98;143 491,98;0,00;-45 000,00;189 750,00;3 500,00;0,70;ДУ-001;СССД_ЦБ
46;"Буровая компания ""Евразия"", БО-001Р-02";RU000A100A33;02.04.2020;03.04.2020;BUY;1000,00;1 250;100,7500;346,33;100,0000;102,8698;0;1 250;1 259 375,00;346,33;1 250 000,00;1 285 872,99;35 872,99;0,00;-9 375,00;47 725,00;875,00;0,70;ДУ-001;СССД_ЦБ
47;"Буровая компания ""Евразия"", БО-001Р-02";RU000A100A33;02.04.2020;03.04.2020;BUY;1000,00;3 660;100,7500;1 014,06;100,0000;102,8698;0;3 660;3 687 450,00;1 014,06;3 660 000,00;3 765 036,13;105 036,13;0,00;-27 450,00;139 738,80;2 562,00;0,70;ДУ-001;СССД_ЦБ
48;"Буровая компания ""Евразия"", БО-001Р-02";RU000A100A33;03.04.2020;06.04.2020;BUY;1000,00;290;100,7500;80,35;100,0000;102,8698;0;290;292 175,00;80,35;290 000,00;298 322,53;8 322,53;0,00;-2 175,00;11 275,20;203,00;0,70;ДУ-001;СССД_ЦБ
49;"Буровая компания ""Евразия"", БО-001Р-02";RU000A100A33;03.04.2020;06.04.2020;BUY;1000,00;640;100,7500;177,33;100,0000;102,8698;0;640;644 800,00;177,33;640 000,00;658 366,97;18 366,97;0,00;-4 800,00;24 883,20;448,00;0,70;ДУ-001;СССД_ЦБ
50;"Буровая компания ""Евразия"", БО-001Р-02";RU000A100A33;03.04.2020;06.04.2020;BUY;1000,00;1 250;100,7500;346,33;100,0000;102,8698;0;1 250;1 259 375,00;346,33;1 250 000,00;1 285 872,99;35 872,99;0,00;-9 375,00;48 600,00;875,00;0,70;ДУ-001;СССД_ЦБ
51;"Буровая компания ""Евразия"", БО-001Р-02";RU000A100A33;08.04.2020;09.04.2020;BUY;1000,00;1 699;101,8000;475,63;100,0000;102,8698;0;1 699;1 729 582,00;475,63;1 699 000,00;1 747 758,57;48 758,57;0,00;-30 582,00;67 263,41;1 189,30;0,70;ДУ-001;СССД_ЦБ
52;"Буровая компания ""Евразия"", БО-001Р-02";RU000A100A33;09.04.2020;10.04.2020;BUY;1000,00;594;101,9000;166,45;100,0000;102,8698;0;594;605 286,00;166,45;594 000,00;611 046,85;17 046,85;0,00;-11 286,00;23 653,08;415,80;0,70;ДУ-001;СССД_ЦБ
